Seed,Luminosity
277604,2.476000
3071700,2.459000
3898076,2.434000
6947935,2.442000
8931471,2.065000
11367500,2.437000
15966520,2.220000
20435400,2.162000
20895613,2.025000
22964772,2.089000
24370463,2.499000
27830422,2.086000
27915653,2.032000
28246698,2.489000
30234521,2.101000
30533860,2.471000
31086334,2.492000
33538179,2.469000
38286330,2.454000
42747197,2.081000
49591001,2.468000
49955983,2.460000
52806028,2.254000
53889999,2.098000
57133248,2.437000
58758717,2.434000
59213170,2.126000
60565310,2.142000
60905873,2.067000
62470269,2.435000
63296645,2.488000
66237341,2.094000
71049115,2.470000
80468002,2.489000
87138333,2.463000
88358399,2.118000
88890078,2.049000
99063749,2.503000
