Seed,Number of O-types
128,7
6287,8
6390,7
6673,7
7069,7
10660,7
11468,7
14211,8
17205,7
18754,7
21906,7
22994,7
24245,7
25416,8
28957,7
29193,7
29512,7
30618,7
31189,7
31481,7
32364,7
41676,7
44645,7
46293,8
46775,7
47120,7
48338,7
49071,7
49441,7
52805,7
53105,7
53414,7
54378,7
54930,7
56633,7
62428,7
63320,7
67345,7
75332,7
75728,7
76704,7
79321,7
81843,7
82273,7
84838,7
86222,9
93974,7
94957,7
98817,7
99197,7
102108,7
102456,7
102467,7
103017,7
111101,7
112530,7
114651,7
117922,7
119447,7
120916,7
122582,7
124854,8
125964,7
127311,7
127648,8
129304,7
134448,7
140065,7
140215,7
140509,7
146610,7
150948,7
151857,7
153422,7
158847,7
160084,7
161859,7
162431,7
163485,7
163664,7
164281,8
166699,7
170826,7
175023,7
179306,7
181491,7
185715,7
186210,7
187078,7
199205,7
199788,7
201522,7
206907,7
210446,7
211255,7
216911,7
217201,7
221547,8
223056,7
224493,7
229038,7
229525,7
229825,7
232730,7
233032,7
233395,7
233411,7
238937,7
240400,7
242252,7
245996,7
246215,7
247440,7
248091,7
248427,7
249150,7
250393,7
256881,7
259703,7
274151,7
274631,7
276396,7
279946,7
280560,7
282443,7
287058,8
288770,7
289166,7
292663,7
294222,7
298962,8
301473,8
307707,7
308765,8
308985,7
309861,7
311063,7
311859,7
313447,7
314157,7
316750,7
317400,7
322241,7
323597,7
327357,7
330285,7
337223,7
338490,7
345916,7
347624,7
349849,7
358024,7
364159,7
367440,7
368024,7
369132,7
369437,7
369612,8
371204,7
384155,7
398662,7
400333,7
403918,7
405202,7
408714,7
418934,7
421155,7
427996,7
428498,8
429553,7
430349,7
433659,7
434865,7
435543,7
436098,8
437058,8
437540,8
438707,7
442450,7
454397,7
455345,7
461159,7
461312,7
467165,8
467952,7
469866,7
470753,8
470866,8
472262,7
474265,7
476181,7
479336,7
484797,7
487043,7
491020,7
493981,7
496656,7
497212,7
499601,7
500645,7
501004,7
503571,7
506499,7
510315,7
518490,7
523592,7
528782,7
529415,7
535692,7
536276,7
540769,7
541324,7
545296,7
548110,7
548539,9
549586,7
552840,7
554725,7
558623,7
559225,7
561120,7
561495,7
562797,7
566443,8
566543,7
568591,7
569647,7
571827,7
572568,7
576629,7
577109,7
577791,7
577977,7
578447,7
578721,7
581520,7
582172,8
585505,8
586034,7
588672,7
590478,7
592150,7
593246,7
597601,7
608777,8
610111,7
614071,7
614565,7
615216,7
617841,8
621010,7
622110,7
625638,7
625689,7
627226,7
631290,7
631468,7
633612,7
635984,7
636464,7
636593,7
638626,7
638685,7
643262,7
643998,7
645130,7
645171,7
653920,7
658099,7
660315,7
662495,7
663004,8
663400,8
664320,7
665645,7
667893,7
667943,7
670399,7
672896,7
675084,7
677305,7
677813,7
682432,7
683538,7
683841,7
683908,7
686767,7
686858,7
692591,7
692994,7
695812,8
702624,7
704190,7
706030,7
710717,7
716885,7
732235,7
734633,7
735096,7
739049,7
741244,7
742204,7
742244,7
743970,8
744062,7
744399,7
755906,7
756689,8
757009,7
759847,7
759998,7
760845,7
762342,7
763402,7
764776,7
765479,7
766959,7
776551,7
777947,7
779772,7
781866,7
783389,8
793492,7
793878,7
800969,7
805562,7
812373,7
813236,7
815300,7
819743,7
820781,7
820831,7
821833,7
824112,7
824365,7
831657,7
832350,7
833728,7
834424,7
837991,7
840043,7
842248,7
846028,7
847412,7
849101,7
849204,7
850919,7
852973,7
854224,7
854716,7
855008,7
856450,7
858273,7
859518,7
861734,7
862907,7
863732,7
869745,7
873861,7
876133,7
882275,8
883403,7
883728,7
884732,7
885192,7
885903,7
887800,7
892593,7
892715,7
895842,7
901527,7
903748,7
905666,7
907425,7
910267,7
917604,7
917957,7
920329,7
921238,7
925503,7
927515,7
932089,7
932799,7
935078,7
943147,7
945019,7
945094,7
946066,7
947692,8
950367,8
950973,7
953178,7
957737,7
959179,7
961714,7
962196,7
965871,7
967066,7
968188,7
970758,7
970863,7
972709,7
976403,7
977120,7
977780,7
979464,7
979675,7
985453,7
986792,7
988348,7
988954,7
995786,7
998047,8
1002624,7
1003313,7
1004402,7
1005826,7
1008129,7
1011480,7
1012889,7
1024730,7
1025465,8
1025840,8
1033823,7
1034827,7
1037524,7
1048812,7
1049332,7
1050225,7
1050920,7
1051234,7
1054585,8
1055144,7
1056233,7
1061229,7
1063693,7
1065359,7
1074469,8
1077783,7
1078163,7
1079904,7
1086853,7
1091173,7
1091571,7
1096316,7
1098268,7
1101185,7
1103660,8
1106661,7
1107394,7
1107675,7
1109033,8
1110497,8
1110800,7
1114739,8
1115984,7
1116311,7
1119617,7
1120751,7
1121402,7
1129029,7
1129208,7
1131150,7
1138258,8
1139020,7
1139907,7
1140226,7
1141498,7
1148916,7
1149420,7
1149792,8
1150329,7
1151214,8
1155198,7
1155714,7
1157093,7
1159871,7
1165277,7
1174931,7
1179553,7
1181684,7
1184237,7
1185998,7
1187224,7
1187715,7
1188016,7
1192584,7
1199452,7
1200004,7
1209243,7
1210404,8
1211042,7
1217590,7
1223776,7
1224263,7
1224949,7
1226261,7
1230161,8
1235450,7
1235947,7
1237453,9
1239938,7
1240420,7
1242742,7
1250037,7
1250820,7
1251585,7
1253377,7
1254934,7
1255876,7
1262885,7
1265230,7
1265560,7
1266744,7
1266780,7
1267586,7
1267627,7
1270716,7
1274597,7
1277469,7
1277700,7
1279215,7
1281289,7
1285693,7
1287202,7
1290483,7
1295468,7
1296916,7
1297321,7
1299946,7
1308189,7
1313896,8
1318815,7
1319441,7
1319511,7
1322978,7
1325653,7
1330499,8
1336941,8
1344235,7
1346430,7
1346845,7
1352546,8
1353959,7
1357089,8
1357435,7
1362834,7
1367710,7
1368065,7
1370725,7
1371061,7
1374045,7
1376268,7
1376386,7
1390463,7
1391110,7
1391288,7
1392521,7
1395284,7
1402775,7
1404082,7
1406080,7
1406989,7
1410669,7
1413686,7
1416134,7
1416351,7
1426363,7
1426447,7
1428085,7
1428591,7
1432491,7
1433908,7
1434525,7
1439701,8
1440303,7
1443714,8
1450891,7
1452704,7
1453100,7
1453615,7
1455651,7
1458835,7
1466530,7
1471682,9
1472053,7
1473053,7
1478014,7
1486171,8
1488543,7
1489441,7
1493125,7
1493766,7
1496502,7
1496517,7
1497922,7
1498335,7
1499246,7
1499665,7
1504233,7
1504854,7
1510323,8
1510452,7
1518894,7
1525439,7
1530461,7
1533169,7
1535750,7
1536417,7
1543735,7
