Seed,Red Giants,Yellow Giants,White Giants,Blue Giants
00000481,1,1,0,1
00000822,1,0,1,1
00002454,1,0,1,1
00005201,1,1,0,1
00005537,1,1,0,1
00006843,1,0,1,1
00007011,1,0,1,1
00008946,1,1,0,1
00009977,1,1,0,1
00010453,1,0,1,1
00011255,1,1,0,1
00012225,1,0,1,1
00013517,1,0,1,1
00014967,1,1,0,1
00015000,1,1,0,1
00015639,1,1,0,1
00016413,1,1,0,1
00016455,1,1,0,1
00016474,1,0,1,1
00017747,1,1,0,1
00017943,1,0,1,1
00020349,1,1,0,1
00020844,1,0,1,1
00022024,1,0,1,1
00022961,1,1,0,1
00022975,1,1,0,1
00023376,1,1,0,1
00024402,1,0,1,1
00024598,1,1,0,1
00025414,1,0,1,1
00025820,1,0,1,1
00026072,1,0,1,1
00027364,1,0,1,1
00027844,1,0,1,1
00028007,1,1,0,1
00029453,1,1,0,1
00029514,1,0,1,1
00029980,1,1,0,1
00031603,1,0,1,1
00032592,1,1,0,1
00033226,1,0,1,1
00034052,1,0,1,1
00035703,1,0,1,1
00036859,1,1,0,1
00037004,1,0,1,1
00037475,1,0,1,1
00037638,1,1,0,1
00038398,1,0,1,1
00039947,1,1,0,1
00040488,1,0,1,1
00040530,1,0,1,1
00043379,1,1,0,1
00043664,1,0,1,1
00043692,1,1,0,1
00043878,1,0,1,1
00044494,1,0,1,1
00045599,1,1,0,1
00047073,1,0,1,1
00047260,1,0,1,1
00047535,1,0,1,1
00047810,1,0,1,1
00049041,1,1,0,1
00049713,1,1,0,1
00053458,1,1,0,1
00054330,1,0,1,1
00056704,1,0,1,1
00057837,1,0,1,1
00058206,1,0,1,1
00058332,1,0,1,1
00060444,1,1,0,1
00060612,1,1,0,1
00061419,1,1,0,1
00062641,1,1,0,1
00062753,1,1,0,1
00063630,1,1,0,1
00065495,1,0,1,1
00065724,1,1,0,1
00066498,1,1,0,1
00066633,1,1,0,1
00066806,1,1,0,1
00067771,1,0,1,1
00068639,1,1,0,1
00071927,1,1,0,1
00072356,1,0,1,1
00073186,1,0,1,1
00073811,1,0,1,1
00073867,1,0,1,1
00074776,1,0,1,1
00075518,1,0,1,1
00076264,1,1,0,1
00076898,1,0,1,1
00077267,1,0,1,1
00078722,1,1,0,1
00079673,1,1,0,1
00080345,1,0,1,1
00082150,1,1,0,1
00085326,1,1,0,1
00085391,1,1,0,1
00085727,1,1,0,1
00088479,1,0,1,1
00089006,1,0,1,1
00089304,1,1,0,1
00090074,1,0,1,1
00090601,1,1,0,1
00091655,1,0,1,1
00091781,1,1,0,1
00092247,1,0,1,1
00093553,1,0,1,1
00094206,1,1,0,1
00094388,1,0,1,1
00095190,1,1,0,1
00096277,1,0,1,1
00096603,1,0,1,1
00097970,1,1,0,1
00098618,1,1,0,1
00098884,1,0,1,1
00100376,1,0,1,1
00101645,1,1,0,1
00102046,1,0,1,1
00104611,1,1,0,1
00105091,1,1,0,1
00105413,1,1,0,1
00105665,1,0,1,1
00106127,1,0,1,1
00106761,1,1,0,1
00110007,1,0,1,1
00112050,1,1,0,1
00112334,1,1,0,1
00112815,1,1,0,1
00113500,1,1,0,1
00114251,1,1,0,1
00114396,1,1,0,1
00114722,1,1,0,1
00115226,1,1,0,1
00115450,1,0,1,1
00116392,1,1,0,1
00117040,1,0,1,1
00117143,1,1,0,1
00117744,1,1,0,1
00117968,1,0,1,1
00118626,1,0,1,1
00119936,1,1,0,1
00120333,1,0,1,1
00120473,1,1,0,1
00121107,1,0,1,1
00125015,1,1,0,1
00125822,1,1,0,1
00128033,1,1,0,1
00129269,1,0,1,1
00129460,1,0,1,1
00129567,1,1,0,1
00129931,1,0,1,1
00130248,1,0,1,1
00131792,1,1,0,1
00131876,1,1,0,1
00131936,1,1,0,1
00132020,1,1,0,1
00132636,1,0,1,1
00134138,1,1,0,1
00134329,1,1,0,1
00134511,1,1,0,1
00134618,1,0,1,1
00135453,1,1,0,1
00135621,1,1,0,1
00135812,1,0,1,1
00136246,1,1,0,1
00136409,1,0,1,1
00136470,1,0,1,1
00136927,1,0,1,1
